Numéro	Mois	Jour	Minimum	Maximum	Moyenne
1	janvier	Ven. 01	0.6	4.3	2.2
2	janvier	Sam. 02	-0.3	4.7	2.3
3	janvier	Dim. 03	2.9	4.5	3.4
4	janvier	Lun. 04	2.6	3.7	3.1
5	janvier	Mar. 05	2.8	3.6	3.1
6	janvier	Mer. 06	3.0	4.3	3.6
7	janvier	Jeu. 07	2.8	4.2	3.3
8	janvier	Ven. 08	1.5	4.6	2.9
9	janvier	Sam. 09	-0.2	4.6	1.4
10	janvier	Dim. 10	-0.6	4.6	1.5
11	janvier	Lun. 11	0.5	5.3	3.2
12	janvier	Mar. 12	4.4	9.8	7.2
13	janvier	Mer. 13	5.8	10.1	8.2
14	janvier	Jeu. 14	9.0	11.3	9.2
15	janvier	Ven. 15	1.5	10.0	2.2
16	janvier	Sam. 16	-0.2	1.0	0.9
17	janvier	Dim. 17	1.0	7.9	5.9
18	janvier	Lun. 18	2.6	8.2	5
19	janvier	Mar. 19	4.7	7.3	5.9
20	janvier	Mer. 20	5.3	12.9	9.7
21	janvier	Jeu. 21	5.8	12.7	8.8
22	janvier	Ven. 22	4.2	10.2	6.1
23	janvier	Sam. 23	2.9	6.4	3.9
24	janvier	Dim. 24	-0.6	3.8	1.5
25	janvier	Lun. 25	1.6	5.7	3.3
26	janvier	Mar. 26	1.0	4.7	2.9
27	janvier	Mer. 27	2.1	8.0	5.4
28	janvier	Jeu. 28	8.0	14.3	11.8
29	janvier	Ven. 29	10.1	12.5	10.6
30	janvier	Sam. 30	7.2	13.6	10.2
31	janvier	Dim. 31	6.5	10.8	8.5
32	février	Lun. 01	8.2	10.2	9
33	février	Mar. 02	6.8	15.3	11.7
34	février	Mer. 03	9.2	13.2	10.7
35	février	Jeu. 04	5.4	11.6	8.5
36	février	Ven. 05	7.0	12.3	9.5
37	février	Sam. 06	7.8	10.8	8.3
38	février	Dim. 07	1.0	8.2	3.1
39	février	Lun. 08	-0.9	1.3	-0.4
40	février	Mar. 09	-2.9	-0.7	-1.8
41	février	Mer. 10	-5.7	-0.6	-2.8
42	février	Jeu. 11	-4.7	1.0	-2
43	février	Ven. 12	-3.0	1.6	-1.4
44	février	Sam. 13	-4.8	0.6	-2.3
45	février	Dim. 14	-4.6	1.5	-1
46	février	Lun. 15	1.3	9.0	5.9
47	février	Mar. 16	6.2	11.9	8.8
48	février	Mer. 17	8.0	13.5	9.8
49	février	Jeu. 18	7.0	10.6	8.3
50	février	Ven. 19	5.1	14.3	9.2
51	février	Sam. 20	7.6	18.6	12.9
52	février	Dim. 21	7.8	19.1	13.2
53	février	Lun. 22	10.0	15.4	12.8
54	février	Mar. 23	11.8	18.2	14.2
55	février	Mer. 24	9.7	20.0	13.9
56	février	Jeu. 25	9.0	17.5	12.9
57	février	Ven. 26	7.9	15.2	9.5
58	février	Sam. 27	3.7	11.5	7.1
59	février	Dim. 28	3.5	11.6	7.2
60	mars	Lun. 01	3.4	14.2	8.5
61	mars	Mar. 02	4.8	17.2	10.6
62	mars	Mer. 03	8.3	18.8	12.9
