numero	maths	physique	philosophie	français	heures
1	17,0	19,6	3,3	9,5	4
2	9,3	7,9	1,1	1,8	21
3	2,0	5,7	5,7	1,4	43
4	11,6	11,6	8,5	9,6	12
5	7,4	6,0	4,3	6,1	24
6	9,2	7,2	1,1	0,5	17
7	8,3	5,8	8,0	12,3	17
8	14,4	12,8	14,3	10,6	1
9	8,1	4,5	4,6	5,3	20
10	8,8	9,4	0,1	0,2	23
11	8,4	7,3	6,5	8,8	20
12	7,5	5,5	6,4	8,2	21
13	12,7	13,5	15,2	17,3	5
14	18,3	18,5	4,0	8,6	9
15	8,0	5,6	0,7	1,1	20
16	8,0	7,4	8,1	8,7	26
17	10,8	8,7	5,0	10,0	9
18	8,5	7,9	5,9	3,5	18
19	13,6	12,6	14,7	12,8	0
20	5,9	4,8	2,2	10,1	28
21	8,4	7,3	1,2	2,5	23
22	8,8	7,6	6,2	6,3	14
23	8,5	7,8	2,6	4,9	19
24	9,9	7,5	4,6	5,7	16
25	5,9	3,2	9,5	5,2	25
26	14,4	15,9	5,4	4,9	20
27	10,0	8,3	3,7	6,0	20
28	5,2	0,7	0,1	2,3	28
29	7,9	7,3	7,4	10,1	26
30	10,2	6,9	1,8	10,9	15
